Area,Row,Number
Main Stage,1,1
Main Stage,1,2
Main Stage,1,3
Main Stage,1,4
Main Stage,1,5
Main Stage,1,6
Main Stage,1,7
Main Stage,1,8
Main Stage,1,9
Main Stage,1,10
Main Stage,1,11
Main Stage,1,12
Main Stage,1,13
Main Stage,1,14
Main Stage,1,15
Main Stage,1,16
Main Stage,1,17
Main Stage,1,18
Main Stage,1,19
Main Stage,1,20
Main Stage,1,21
Main Stage,1,22
Main Stage,1,23
Main Stage,1,24
Main Stage,1,25
Main Stage,1,26
Main Stage,1,27
Main Stage,1,28
Main Stage,2,29
Main Stage,2,30
Main Stage,2,31
Main Stage,2,32
Main Stage,2,33
Main Stage,2,34
Main Stage,2,35
Main Stage,2,36
Main Stage,2,37
Main Stage,2,38
Main Stage,2,39
Main Stage,2,40
Main Stage,2,41
Main Stage,2,42
Main Stage,2,43
Main Stage,2,44
Main Stage,2,45
Main Stage,2,46
Main Stage,2,47
Main Stage,2,48
Main Stage,2,49
Main Stage,2,50
Main Stage,2,51
Main Stage,2,52
Main Stage,2,53
Main Stage,2,54
Main Stage,2,55
Main Stage,2,56
Main Stage,3,57
Main Stage,3,58
Main Stage,3,59
Main Stage,3,60
Main Stage,3,61
Main Stage,3,62
Main Stage,3,63
Main Stage,3,64
Main Stage,3,65
Main Stage,3,66
Main Stage,3,67
Main Stage,3,68
Main Stage,3,69
Main Stage,3,70
Main Stage,3,71
Main Stage,3,72
Main Stage,3,73
Main Stage,3,74
Main Stage,3,75
Main Stage,3,76
Main Stage,3,77
Main Stage,3,78
Main Stage,3,79
Main Stage,3,80
Main Stage,3,81
Main Stage,3,82
Main Stage,3,83
Main Stage,3,84
Main Stage,4,85
Main Stage,4,86
Main Stage,4,87
Main Stage,4,88
Main Stage,4,89
Main Stage,4,90
Main Stage,4,91
Main Stage,4,92
Main Stage,4,93
Main Stage,4,94
Main Stage,4,95
Main Stage,4,96
Main Stage,4,97
Main Stage,4,98
Main Stage,4,99
Main Stage,4,100
Main Stage,4,101
Main Stage,4,102
Main Stage,4,103
Main Stage,4,104
Main Stage,4,105
Main Stage,4,106
Main Stage,4,107
Main Stage,4,108
Main Stage,4,109
Main Stage,4,110
Main Stage,4,111
Main Stage,4,112
Main Stage,5,113
Main Stage,5,114
Main Stage,5,115
Main Stage,5,116
Main Stage,5,117
Main Stage,5,118
Main Stage,5,119
Main Stage,5,120
Main Stage,5,121
Main Stage,5,122
Main Stage,5,123
Main Stage,5,124
Main Stage,5,125
Main Stage,5,126
Main Stage,5,127
Main Stage,5,128
Main Stage,5,129
Main Stage,5,130
Main Stage,5,131
Main Stage,5,132
Main Stage,5,133
Main Stage,5,134
Main Stage,5,135
Main Stage,5,136
Main Stage,5,137
Main Stage,5,138
Main Stage,5,139
Main Stage,5,140
Main Stage,6,141
Main Stage,6,142
Main Stage,6,143
Main Stage,6,144
Main Stage,6,145
Main Stage,6,146
Main Stage,6,147
Main Stage,6,148
Main Stage,6,149
Main Stage,6,150
Main Stage,6,151
Main Stage,6,152
Main Stage,6,153
Main Stage,6,154
Main Stage,6,155
Main Stage,6,156
Main Stage,6,157
Main Stage,6,158
Main Stage,6,159
Main Stage,6,160
Main Stage,6,161
Main Stage,6,162
Main Stage,6,163
Main Stage,6,164
Main Stage,6,165
Main Stage,6,166
Main Stage,6,167
Main Stage,6,168
Main Stage,7,169
Main Stage,7,170
Main Stage,7,171
Main Stage,7,172
Main Stage,7,173
Main Stage,7,174
Main Stage,7,175
Main Stage,7,176
Main Stage,7,177
Main Stage,7,178
Main Stage,7,179
Main Stage,7,180
Main Stage,7,181
Main Stage,7,182
Main Stage,7,183
Main Stage,7,184
Main Stage,7,185
Main Stage,7,186
Main Stage,7,187
Main Stage,7,188
Main Stage,7,189
Main Stage,7,190
Main Stage,7,191
Main Stage,7,192
Main Stage,7,193
Main Stage,7,194
Main Stage,7,195
Main Stage,7,196
Main Stage,8,197
Main Stage,8,198
