playName,date,time
Kongsemnene,2024-03-19,18:30
Kongsemnene,2024-04-02,18:30
Kongsemnene,2024-04-03,18:30
Kongsemnene,2024-04-11,18:30
Kongsemnene,2024-04-12,18:30
Kongsemnene,2024-04-13,17:30
Kongsemnene,2024-04-15,18:30
Størst av alt er kjærligheten,2024-03-18,19:30
Størst av alt er kjærligheten,2024-03-19,19:30
Størst av alt er kjærligheten,2024-04-02,19:30
Størst av alt er kjærligheten,2024-04-03,19:30
Størst av alt er kjærligheten,2024-04-23,19:30
Størst av alt er kjærligheten,2024-04-24,19:30
Størst av alt er kjærligheten,2024-04-25,19:30
Størst av alt er kjærligheten,2024-04-26,19:30
Størst av alt er kjærligheten,2024-04-27,18:00
Størst av alt er kjærligheten,2024-04-29,19:30
