Role,Actor,Play
Arturo Scotti,Haakon Haakonsson,Kongsemnene
Ingunn Beate Strige Øyen,Inga fra Vartejg (Haakons mor),Kongsemnene
Hans Petter Nilsen,Skule jarl,Kongsemnene
Madeleine Brandtzæg Nilsen,Fru Ragnhild (Skules hustru),Kongsemnene
Synnøve Fossum Eriksen,Margrete (Skules datter),Kongsemnene
Emma Caroline Deichmann,Ingebjørg,Kongsemnene
Emma Caroline Deichmann,Sigrid (Skules søster),Kongsemnene
Thomas Jensen Takyi,Biskop Nikolas,Kongsemnene
Per Bogstad Gulliksen,Gregorius Jonssønn,Kongsemnene
Isak Holmen Sørensen,Paal Flida,Kongsemnene
Isak Holmen Sørensen,Trønder,Kongsemnene
Fabian Heidelberg Lunde,Baard Bratte,Kongsemnene
Fabian Heidelberg Lunde,Trønder,Kongsemnene
Emil Olafsson,Dagfinn Bonde,Kongsemnene
Emil Olafsson,Jatgeir Skald,Kongsemnene
Snorre Ryen Tøndel,Peter (prest og Ingebjørgs sønn),Kongsemnene
Sunniva Du Mond Nordal,Sunniva Du Mond Nordal,Størst av alt er kjørligheten
Jo Saberniak,Jo Saberniak,Størst av alt er kjørligheten
Marte M. Steinholt,Marte M. Steinholt,Størst av alt er kjørligheten
Tor Ivar Hagen,Tor Ivar Hagen,Størst av alt er kjørligheten
Trond-Ove Skrødal,Trond-Ove Skrødal,Størst av alt er kjørligheten
Natalie Grøndahl Tangen,Natalie Grøndahl Tangen,Størst av alt er kjørligheten
Åsmund Flaten,Åsmund Flaten,Størst av alt er kjørligheten
