Area,ChairNo,rowNo
Galleri,1,1
Galleri,2,1
Galleri,3,1
Galleri,4,1
Galleri,5,1
Galleri,6,1
Galleri,7,1
Galleri,8,1
Galleri,9,1
Galleri,10,1
Galleri,11,1
Galleri,12,1
Galleri,13,1
Galleri,14,1
Galleri,15,1
Galleri,16,1
Galleri,17,1
Galleri,18,1
Galleri,19,1
Galleri,20,1
Galleri,21,1
Galleri,22,1
Galleri,23,1
Galleri,24,1
Galleri,25,1
Galleri,26,1
Galleri,27,1
Galleri,28,1
Galleri,29,1
Galleri,30,1
Galleri,31,1
Galleri,32,1
Galleri,33,1
Galleri,1,2
Galleri,2,2
Galleri,3,2
Galleri,4,2
Galleri,5,2
Galleri,6,2
Galleri,7,2
Galleri,8,2
Galleri,9,2
Galleri,10,2
Galleri,11,2
Galleri,12,2
Galleri,13,2
Galleri,14,2
Galleri,15,2
Galleri,16,2
Galleri,17,2
Galleri,18,2
Galleri,1,3
Galleri,2,3
Galleri,3,3
Galleri,4,3
Galleri,5,3
Galleri,6,3
Galleri,7,3
Galleri,8,3
Galleri,9,3
Galleri,10,3
Galleri,11,3
Galleri,12,3
Galleri,13,3
Galleri,14,3
Galleri,15,3
Galleri,16,3
Galleri,17,3
Balkong,1,1
Balkong,2,1
Balkong,3,1
Balkong,4,1
Balkong,5,1
Balkong,6,1
Balkong,7,1
Balkong,8,1
Balkong,9,1
Balkong,10,1
Balkong,11,1
Balkong,12,1
Balkong,13,1
Balkong,14,1
Balkong,15,1
Balkong,16,1
Balkong,17,1
Balkong,18,1
Balkong,19,1
Balkong,20,1
Balkong,21,1
Balkong,22,1
Balkong,23,1
Balkong,24,1
Balkong,25,1
Balkong,26,1
Balkong,27,1
Balkong,28,1
Balkong,1,2
Balkong,2,2
Balkong,3,2
Balkong,4,2
Balkong,5,2
Balkong,6,2
Balkong,7,2
Balkong,8,2
Balkong,9,2
Balkong,10,2
Balkong,11,2
Balkong,12,2
Balkong,13,2
Balkong,14,2
Balkong,15,2
Balkong,16,2
Balkong,17,2
Balkong,18,2
Balkong,19,2
Balkong,20,2
Balkong,21,2
Balkong,22,2
Balkong,23,2
Balkong,24,2
Balkong,25,2
Balkong,26,2
Balkong,27,2
Balkong,1,3
Balkong,2,3
Balkong,3,3
Balkong,4,3
Balkong,5,3
Balkong,6,3
Balkong,7,3
Balkong,8,3
Balkong,9,3
Balkong,10,3
Balkong,11,3
Balkong,12,3
Balkong,13,3
Balkong,14,3
Balkong,15,3
Balkong,16,3
Balkong,17,3
Balkong,18,3
Balkong,19,3
Balkong,20,3
Balkong,21,3
Balkong,22,3
Balkong,1,4
Balkong,2,4
Balkong,3,4
Balkong,4,4
Balkong,5,4
Balkong,6,4
Balkong,7,4
Balkong,8,4
Balkong,9,4
Balkong,10,4
Balkong,11,4
Balkong,12,4
Balkong,13,4
Balkong,14,4
Balkong,15,4
Balkong,16,4
Balkong,17,4
Parkett,1,1
Parkett,2,1
Parkett,3,1
Parkett,4,1
Parkett,5,1
Parkett,6,1
Parkett,7,1
Parkett,8,1
Parkett,9,1
Parkett,10,1
Parkett,11,1
Parkett,12,1
Parkett,13,1
Parkett,14,1
Parkett,15,1
Parkett,16,1
Parkett,17,1
Parkett,18,1
Parkett,1,2
Parkett,2,2
Parkett,3,2
Parkett,4,2
Parkett,5,2
Parkett,6,2
Parkett,7,2
Parkett,8,2
Parkett,9,2
Parkett,10,2
Parkett,11,2
Parkett,12,2
Parkett,13,2
Parkett,14,2
Parkett,15,2
Parkett,16,2
Parkett,1,3
Parkett,2,3
Parkett,3,3
Parkett,4,3
Parkett,5,3
Parkett,6,3
Parkett,7,3
Parkett,8,3
Parkett,9,3
Parkett,10,3
Parkett,11,3
Parkett,12,3
Parkett,13,3
Parkett,14,3
Parkett,15,3
Parkett,16,3
Parkett,17,3
Parkett,1,4
Parkett,2,4
Parkett,3,4
Parkett,4,4
Parkett,5,4
Parkett,6,4
Parkett,7,4
Parkett,8,4
Parkett,9,4
Parkett,10,4
Parkett,11,4
Parkett,12,4
Parkett,13,4
Parkett,14,4
Parkett,15,4
Parkett,16,4
Parkett,17,4
Parkett,18,4
Parkett,1,5
Parkett,2,5
Parkett,3,5
Parkett,4,5
Parkett,5,5
Parkett,6,5
Parkett,7,5
Parkett,8,5
Parkett,9,5
Parkett,10,5
Parkett,11,5
Parkett,12,5
Parkett,13,5
Parkett,14,5
Parkett,15,5
Parkett,16,5
Parkett,17,5
Parkett,18,5
Parkett,1,6
Parkett,2,6
Parkett,3,6
Parkett,4,6
Parkett,5,6
Parkett,6,6
Parkett,7,6
Parkett,8,6
Parkett,9,6
Parkett,10,6
Parkett,11,6
Parkett,12,6
Parkett,13,6
Parkett,14,6
Parkett,15,6
Parkett,16,6
Parkett,17,6
Parkett,1,7
Parkett,2,7
Parkett,3,7
Parkett,4,7
Parkett,5,7
Parkett,6,7
Parkett,7,7
Parkett,8,7
Parkett,9,7
Parkett,10,7
Parkett,11,7
Parkett,12,7
Parkett,13,7
Parkett,14,7
Parkett,15,7
Parkett,16,7
Parkett,17,7
Parkett,18,7
Parkett,1,8
Parkett,2,8
Parkett,3,8
Parkett,4,8
Parkett,5,8
Parkett,6,8
Parkett,7,8
Parkett,8,8
Parkett,9,8
Parkett,10,8
Parkett,11,8
Parkett,12,8
Parkett,13,8
Parkett,14,8
Parkett,15,8
Parkett,16,8
Parkett,17,8
Parkett,1,9
Parkett,2,9
Parkett,3,9
Parkett,4,9
Parkett,5,9
Parkett,6,9
Parkett,7,9
Parkett,8,9
Parkett,9,9
Parkett,10,9
Parkett,11,9
Parkett,12,9
Parkett,13,9
Parkett,14,9
Parkett,15,9
Parkett,16,9
Parkett,17,9
Parkett,1,10
Parkett,2,10
Parkett,3,10
Parkett,4,10
Parkett,5,10
Parkett,6,10
Parkett,7,10
Parkett,8,10
Parkett,9,10
Parkett,10,10
Parkett,11,10
Parkett,12,10
Parkett,13,10
Parkett,14,10
